"station","elevation","latitude","longitude","landuse"
"s5_old",1775,47.700856,10.615171,"pa"
"s2_old",1629,46.698694,10.619148,"me"
"xs1_old",1738,46.695551,10.612893,"fo"
"m1_old",1839,46.71328209,10.6412642,"me"
"m4_old",1998,46.741063,10.696545,"pa"
"xs6_old",1778,46.68895823,10.63043102,"fo"
"m6_old",1494,46.7000052,10.628017,"me"
"m5_old",1823,46.701609,10.616043,"pa"
"s4_old",2353,46.706594,10.603882,"pa"
"m3_old",2232,46.76683822,10.70120078,"pa"
"m2_old",2180,46.71110568,10.69164718,"pa"
